50000 1000
R 44756 49215
L 4443 33215
R 27010 3224
R 29418 8024
L 1205 9822
L 27808 8510
L 15872 14078
L 2983 7998
R 25914 18917
R 43516 44257
L 46153 24731
L 18647 9603
L 48821 33483
R 11680 16711
L 5160 43813
L 1430 17764
L 12303 16291
L 47147 28955
L 125 37906
R 18132 21927
L 42087 21430
R 9395 884
R 26212 9187
R 5363 29023
L 36069 9724
R 13311 2628
R 40070 45960
L 38135 47490
R 6120 15632
R 692 7104
R 42072 22067
R 43000 6949
R 4434 26672
R 31908 31208
L 47984 10359
R 16705 34371
R 9554 10777
L 4329 40768
L 36117 5807
R 28080 2712
L 8690 15553
L 26145 1849
R 13152 43171
R 38070 36592
L 20819 15986
R 41881 5801
L 28494 41290
R 45864 28334
L 33532 24313
L 45526 43306
R 34144 11838
R 23562 4495
L 8819 22148
L 16603 14152
L 1527 33688
R 4030 40534
L 40309 31400
L 10965 22309
L 11132 23619
R 46061 21030
R 39830 18721
L 32871 25626
L 43102 40203
R 40376 45385
L 49245 11878
L 24316 47570
R 38406 5301
R 34326 27592
L 19728 32934
L 7303 589
L 47554 31022
L 41933 45720
R 15215 15816
L 7044 31345
L 7298 6712
L 40755 32029
R 43390 39725
R 5813 36576
L 48975 10617
L 42799 29094
R 38654 34895
L 41242 37626
R 45966 28075
L 21088 40651
L 22707 24164
L 26234 9680
L 44542 11487
R 22554 10164
R 2228 8347
L 11830 7859
R 41747 22572
R 18143 12853
L 21375 22967
R 9958 21629
R 5469 43033
L 38997 43067
L 18034 14882
L 48991 27406
R 33 32255
L 12244 43739
L 1230 45
L 12972 3555
L 1324 37731
L 32884 14656
L 3376 17555
R 32570 44371
L 9190 43946
R 31678 8370
L 46553 21299
L 1677 27961
R 34793 22826
L 30393 7230
R 11620 5476
L 9194 14836
L 27433 47338
R 26923 44226
R 34059 19308
R 4815 41016
R 16063 26387
R 5872 10037
L 10514 47975
L 31642 12494
L 43247 23681
L 4947 43889
R 21563 18856
L 19865 46874
L 24757 12070
R 34603 15991
L 38666 8661
R 46126 16101
R 3919 36230
R 39153 44891
L 3074 37046
R 36076 12146
L 35239 20000
L 6463 29480
L 11127 35767
R 33132 30881
R 517 46431
R 42636 20841
L 42509 13295
R 39403 12053
R 40976 32625
R 594 32594
R 19897 27699
L 46419 44272
R 13634 10729
L 39864 15404
R 47773 3620
L 17643 17097
R 16230 30839
R 21939 39829
L 37314 104
L 45762 40778
L 36770 48017
L 24100 35713
L 46826 33303
L 48933 15300
L 4321 733
L 24978 29459
R 26513 47618
R 12905 31867
L 30175 42365
L 39857 37144
R 8472 9568
R 23650 2752
R 24221 2312
R 48518 10225
R 31595 16863
R 41878 4340
L 10905 38823
L 37541 25800
R 39555 1321
L 31444 1462
R 1946 36888
L 12587 5642
R 22299 779
R 39310 28293
R 37456 34737
L 10467 30635
L 13133 25916
R 2563 11298
L 7537 10682
L 46438 21356
R 29439 47474
L 47794 46645
L 25713 9676
R 15899 46365
R 9896 26980
R 27352 17416
R 1549 47487
R 31737 29166
R 11256 13061
R 9436 38033
R 44329 48567
R 4092 10646
R 48213 7127
L 12324 39757
L 4241 15832
L 44447 16814
L 33574 31069
L 20112 29836
L 44804 7755
R 29649 19289
R 30848 40412
R 482 37816
R 24960 7164
R 36973 6143
L 12999 12078
R 14159 12488
R 2311 42226
L 10130 9175
R 49061 22160
L 41231 46304
L 9854 14613
L 17494 9620
R 31172 35568
L 12973 11521
R 4766 16930
R 31626 42311
R 27594 39550
L 12138 20651
L 7769 24746
L 48964 34355
R 1653 35240
L 29767 33602
R 12546 46244
L 13849 7644
L 42658 9927
R 38497 16152
L 43704 18187
L 3269 27323
R 4365 16574
L 46140 46638
L 48980 25159
R 3209 8679
R 15414 22961
R 14763 15843
L 37958 28071
R 22781 33942
R 16264 28488
R 2797 44888
L 33219 8461
R 29864 19918
R 16493 23907
L 33743 40796
R 33649 3951
R 4795 24375
R 16432 27356
R 26974 7516
L 48767 10157
R 31382 12508
R 32426 12107
R 31406 24804
L 32286 26319
R 30989 31454
L 43607 16959
L 24546 33943
L 8451 47735
L 45247 49875
L 34782 19217
R 638 37610
R 28599 25380
R 48682 5455
L 14024 696
L 41046 19061
R 29441 4727
L 1921 6916
L 8063 31294
R 23585 22969
R 44766 26663
R 46006 40882
L 7665 13639
R 16880 10454
L 424 34097
R 16913 29678
L 2880 18393
R 19166 41699
L 35237 38858
L 2759 8874
R 24908 17692
R 40810 22354
R 6517 4179
L 3323 48723
R 47851 35208
L 219 22419
L 43173 11080
R 30427 35459
L 27140 31067
L 10755 42504
L 25694 34181
R 36634 16572
R 35070 44819
L 39227 12503
L 30752 33892
R 9578 8957
R 49913 34808
L 12007 36473
L 16702 18949
R 31774 32457
L 40277 18847
L 15120 31095
L 31337 12601
R 37731 6397
L 49973 32010
R 23596 30479
R 45341 8170
R 39792 12506
R 37194 48252
L 43530 10502
L 10121 1330
R 29765 9905
L 19693 42523
L 3960 36557
L 20382 10020
R 43536 29617
R 25673 15991
R 15431 37742
R 9670 41292
L 1970 28551
R 16324 40355
L 18988 8214
L 15913 38533
L 28514 12295
R 9795 49821
L 48834 25615
L 45997 37822
R 31027 49081
L 44542 22055
L 14818 1464
R 18486 48842
L 35687 29059
L 35040 3738
L 40023 35625
R 14722 44173
R 6546 7797
L 28964 16222
L 41932 36017
R 46606 10711
L 42889 540
R 48755 45351
R 24197 11854
L 29456 46660
R 9607 30141
R 12638 19784
L 48005 37531
L 27450 26171
R 9678 20260
R 25357 45153
L 4070 16593
R 5224 38617
L 16591 50
L 1695 10346
R 23312 46172
R 10386 15683
R 36970 44184
L 874 33439
L 36751 29351
R 24804 24219
L 23000 32673
L 35945 31806
R 37981 25105
L 4343 46730
R 37472 2186
R 15710 36410
R 8252 17465
R 43410 26912
L 37227 12026
L 3167 46301
L 21264 33847
L 14738 17359
L 2764 12733
R 18333 41443
R 41406 40900
L 26102 32493
L 36426 32579
L 6820 46643
R 49954 14462
R 37742 4593
R 12902 26781
R 30358 43559
L 26662 31476
R 26114 3264
L 40098 11905
R 41591 35695
L 23188 6095
R 49932 13759
L 48333 43842
R 46059 41961
R 8309 18211
R 43974 22251
R 44130 32573
R 29335 48800
R 6559 28850
L 25406 37091
L 9570 38295
L 48610 31630
L 28230 18013
R 42522 40181
L 30775 41771
L 8218 25881
R 48548 47291
R 5352 5328
L 1136 29131
L 23153 31521
R 42671 16930
R 49107 24648
R 3917 18229
L 36158 18394
R 5700 28521
R 40433 42553
R 29656 19320
L 24088 36835
L 31892 2226
L 21006 45782
L 21837 32266
L 29838 19271
R 3991 46084
L 30436 12135
L 33193 43765
R 16130 154
L 41938 12524
R 37604 37221
R 36360 17490
L 34664 30116
R 7246 24435
R 18566 43984
R 28512 44444
L 4223 15244
R 21507 15867
R 43203 237
L 19693 5268
R 46365 20525
L 19436 4199
L 18473 41759
L 43513 11435
R 26493 28277
R 32893 32117
L 16318 12968
L 19877 6386
L 12615 37969
R 26233 13271
L 1358 15966
R 17247 17912
L 47853 46879
R 41933 31464
R 16313 35592
L 30617 15583
L 21802 11393
R 95 25504
L 47094 4638
L 42793 24396
R 37974 20899
L 2833 36374
L 19896 34142
R 30308 37975
R 38915 35357
R 17308 6439
R 25094 26108
R 33815 4710
L 25873 38277
R 46133 12282
R 33707 19630
L 46734 11347
L 2071 45194
R 49934 22732
R 29179 40669
L 15389 7327
L 46927 21968
R 24973 27807
R 41985 6256
R 38514 42290
L 47489 7850
R 46877 36353
R 35158 20865
R 35296 27479
L 24999 27438
R 34626 42470
R 15102 26118
R 31896 40744
L 28939 26952
R 33458 9553
R 44050 12074
R 44656 48373
R 18475 38084
R 39528 45098
R 8145 23707
R 43747 48837
R 36678 3777
R 6538 45282
R 35525 26121
R 28562 6608
R 26782 40449
L 30422 12957
R 33534 9354
L 2881 6974
L 33991 46553
R 7787 31487
L 31647 26523
L 43018 27750
L 25798 44548
L 16308 3044
L 41834 33116
R 46133 16613
R 25783 29746
L 20680 46524
R 32336 8815
L 40510 6957
R 27491 692
R 32952 45860
L 27165 23740
L 42070 34934
L 14321 39657
R 46804 28424
L 38040 347
R 8564 21639
R 49129 42796
L 49266 30507
L 37576 33298
L 19892 17739
R 16094 15664
R 37042 16857
L 7195 31596
L 1503 18249
L 44966 35299
L 38419 19111
L 37223 32289
L 5531 34464
R 27932 36085
L 37918 15810
L 46893 20389
L 39512 5544
L 3050 37001
R 18342 48797
L 41883 5910
L 23139 29343
R 42029 20142
R 27484 38451
R 41496 45650
L 15916 28119
R 9733 40955
R 19915 47602
R 613 8297
R 45503 4355
R 41046 44356
L 19496 1581
R 33339 2796
R 20933 34069
R 47062 18900
L 19558 40782
L 44075 25832
L 7122 20468
R 7822 7222
R 15229 23867
L 46843 1855
L 9093 4795
L 22483 7026
R 44943 23375
L 8709 14524
L 3021 25738
L 45611 18281
L 39179 46907
L 49335 6753
L 17938 1329
L 20422 19481
R 23154 48552
R 40449 41414
R 41534 29819
L 42910 5676
L 43667 14877
L 15320 28013
L 35853 48329
L 67 31402
R 39850 29027
R 32518 17279
R 35218 48255
R 46860 35261
L 2212 43059
R 18240 5762
L 21983 20966
L 12432 23685
R 6999 6198
R 3539 20858
R 5758 1242
L 12379 34305
R 44689 1107
L 39876 23158
R 45139 10824
L 7060 24643
L 11893 41803
R 39075 29684
R 13843 1023
R 22068 24335
R 7805 32342
R 5166 37966
R 43855 270
R 39686 148
R 46454 11180
R 1047 14205
R 19923 30196
L 29344 8937
L 22798 30967
R 39577 20732
R 20280 46595
L 36205 597
L 18938 45404
R 1458 47146
L 2396 38761
L 14128 20444
R 47434 7100
L 19324 706
L 8335 9006
R 716 13112
L 48579 4813
L 25219 45634
R 19964 38332
L 5662 48224
R 36881 9388
L 15143 31890
L 260 10711
R 32435 40236
L 35524 27333
L 30386 33265
R 11822 47111
R 37030 31930
L 9908 31327
L 2006 14799
R 25524 32258
L 18929 14397
R 42380 19012
L 33891 32113
L 14266 14745
R 7420 4499
R 10425 46033
R 23143 10846
R 13761 41679
R 46591 34544
R 12963 46703
L 47414 7760
L 42309 7726
R 24529 41796
L 1750 7590
R 8978 20525
R 24321 30731
L 46569 26928
R 1079 37301
R 11311 1347
R 31900 32076
R 7646 7986
R 48167 45732
R 12093 47564
R 3953 3721
R 25900 48968
R 40671 4469
R 42838 19209
L 24975 43967
L 38760 26544
L 48746 17512
L 36281 28894
L 29187 31598
L 18744 34955
L 188 13357
R 16972 296
R 4714 49860
L 20516 4429
R 13341 1672
L 47986 26237
R 14534 27052
R 35043 12892
R 25223 17985
L 35737 34260
R 22093 21118
R 38069 23865
R 49559 26132
R 7652 47959
L 43330 43903
R 46463 10943
R 21461 6173
L 34334 25208
R 1947 45656
R 22557 11249
R 48327 16183
L 26850 5100
L 16361 17186
R 28885 44683
L 37206 37946
L 9443 17366
R 43745 44234
R 4431 5522
L 17366 645
L 40019 38593
L 22030 25198
R 26285 13711
R 28075 11561
L 27402 585
L 5267 40615
L 38652 22793
R 40257 48786
L 43576 30734
L 228 32723
R 41804 24549
L 37527 17510
L 26900 24914
R 36886 23049
L 17147 37217
L 6197 22567
R 27600 35042
R 44530 12791
L 38276 1252
R 30493 3654
L 45348 32850
R 15336 18921
L 32824 24374
L 10004 19359
L 49829 32945
L 28041 48739
L 37127 19942
R 48153 5344
R 28831 13016
R 23330 45014
L 32729 30162
L 38462 27374
L 49651 12715
L 38692 11222
L 1214 36843
L 26716 1000
R 46569 9934
R 12031 39438
R 13525 6694
R 33857 11026
R 37742 23654
L 32769 2490
R 48730 39395
L 7510 47421
R 40461 14823
L 22364 5872
L 41598 5368
L 24391 37302
L 25989 11137
R 13578 19424
L 39600 13396
R 36229 28544
L 40902 38184
R 34222 16441
R 27151 9461
L 12378 23550
R 12293 39405
L 34107 32738
R 14664 43607
R 44846 34620
R 32134 35986
R 27765 34884
R 22877 40099
L 19954 49790
L 40306 31479
R 28472 47023
L 45070 17378
R 42490 43431
L 8456 29264
R 16059 19860
L 2253 15540
L 39632 16991
R 47094 31354
L 24602 47783
L 2462 8243
R 47149 38134
R 28069 46541
L 18952 28766
R 5113 9392
L 47668 11806
R 17425 17652
R 26083 35985
R 32956 28332
R 29780 8982
R 12742 13919
L 31931 43600
L 17338 13694
R 43503 4805
R 39095 285
R 43948 45762
R 33285 42434
R 38481 41609
L 29674 594
L 4130 46418
L 772 13350
L 6142 13684
R 27148 45922
R 24430 46680
L 35428 14801
L 35444 18738
L 22599 5851
L 6869 6926
R 42143 41611
L 11560 34963
R 46633 43424
R 18160 5372
L 4016 39517
L 48750 16099
R 15008 3721
L 33136 34984
R 43953 35373
R 19189 7832
R 19512 28280
R 13192 3890
R 16889 21754
L 15158 45833
L 38724 28396
L 42354 20573
L 30087 43539
R 15042 5158
L 23077 47538
R 22772 8412
R 43917 18611
L 14730 40387
L 48936 9163
R 18668 7472
R 19617 2087
L 5075 790
R 9281 42538
R 3775 45251
L 11220 9066
L 12928 47005
L 30979 6358
R 31148 42812
R 41668 852
L 48659 27297
R 11474 43207
L 3205 12623
L 22592 47716
L 9185 20084
L 15662 2183
R 48789 34937
L 47797 8027
L 8310 45325
R 41119 48351
R 5394 8256
R 33144 34300
R 16734 47526
L 3298 42682
L 27440 40479
R 1103 3307
R 19970 19240
R 11813 21683
R 12445 12044
R 43107 35738
R 19893 8035
L 45381 28041
R 18872 29381
R 16159 21852
L 44637 47770
L 19068 3609
R 11188 11454
R 35597 4709
R 879 31850
R 26220 48767
L 5832 539
R 8066 14873
R 22310 36095
L 10843 3463
R 3998 1688
L 16105 20188
R 29706 26080
L 23724 31100
L 21520 22329
L 43809 7902
R 49661 38345
R 3851 49615
L 10965 21030
R 10679 21061
R 8709 40177
R 25370 155
L 16993 4121
R 20276 1575
L 45320 5953
